biosample_id,strain,mlst,ribotype,npmA_presence,Composite_Tn,ICE_MGE_type,niche,host,host_disease,isolation_source,collection_year,collection_month,collection_day,continent,country,region,District,City,lab_contact,bioproject_id,run_id,study_id,contig_number,genome_length,N50,QC_assemblies,QC_reason
SAMEA1710547,78,11,78,,,,Human,Human,,,2010,,,Europe,United Kingdom,Nottinghamshire,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR256896,Knetsch2014,122,3935210,140805,pass,
SAMEA1710507,78,11,78,,,,Human,Human,,,2010,,,Europe,United Kingdom,Shrewsbury,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR256894,Knetsch2014,102,3877918,141153,pass,
SAMEA1710313,78,11,78,npmA2,yes,ICE_v1,Human,Human,,,2011,,,Europe,United Kingdom,Dudley,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR256909,Knetsch2014,106,3942607,148130,pass,
SAMEA1710443,78,11,78,,,,Human,Human,,,2011,,,Europe,United Kingdom,Northants,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR256898,Knetsch2014,102,3903724,141540,pass,
SAMEA1710434,78,11,78,,,,Human,Human,,,2011,,,Europe,United Kingdom,Shrewsbury,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR256899,Knetsch2014,107,3871569,140899,pass,
SAMEA1710461,078NET005,11,78,,,,Human,Human,,,2009,,,Europe,Austria,Feldkirch,,,Wellcome Trust Sanger Institute,PRJEB3012,GCA_901005525,Knetsch2014,105,3982029,140781,pass,
SAMEA1710429,078NET002,11,78,,,,Human,Human,,,2006,,,Oceania,Australia,Perth,,,Wellcome Trust Sanger Institute,PRJEB3012,GCF_900689435,Knetsch2014,80,4074605,140997,pass,
SAMEA1710424,078GUE010,11,78,,,,Human,Human,,,2004,,,North America,Canada,NI,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR171379,Knetsch2014,71,3929500,140790,pass,
SAMEA1710467,078GUE009,11,78,,,,Human,Human,,,2004,,,North America,Canada,NI,,,Wellcome Trust Sanger Institute,PRJEB3012,GCA_901005745,Knetsch2014,70,3838560,140846,pass,
SAMEA1710511,078GUE007,11,78,,,,Human,Human,,,2011,,,Asia,Iran,NI,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR171376,Knetsch2014,80,4042855,119883,pass,
SAMEA1710754,078GUE003,11,78,,,,Human,Human,,,2005,,,North America,Canada,NI,,,Wellcome Trust Sanger Institute,PRJEB3012,GCF_900689765,Knetsch2014,70,4002402,140841,pass,
SAMEA1710772,078GUE002,11,78,,,,Human,Human,,,2005,,,North America,Canada,NI,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR171371,Knetsch2014,81,3876956,140781,pass,
SAMEA1710756,078NET069,11,,,,,Livestock,Pig,,Pig; feces,2009,,,Europe,Netherlands,,,,Wellcome Trust Sanger Institute,PRJEB3012,GCA_901009345,Knetsch2014,93,3866941,119868,pass,
SAMEA1710317,078NET068,11,,,,,Livestock,Pig,,Pig; feces,2009,,,Europe,Netherlands,,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR171352,Knetsch2014,93,3869255,119907,pass,
SAMEA1710375,078NET064,11,,,,,Livestock,Pig,,Pig; feces,2009,,,Europe,Netherlands,,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR171348,Knetsch2014,95,3940558,104014,pass,
SAMEA1710371,078NET063,11,,,,,Livestock,Pig,,Pig; feces,2009,,,Europe,Netherlands,,,,Wellcome Trust Sanger Institute,PRJEB3012,GCA_901009305,Knetsch2014,93,3941533,104373,pass,
SAMEA1710328,078NET049,11,,,,,Human,Human,,Homo sapiens; feces,2009,,,Europe,Netherlands,,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR171334,Knetsch2014,72,4082329,133662,pass,
SAMEA1710390,078NET043,11,,,,,Human,Human,,Homo sapiens; feces,2009,,,Europe,Netherlands,,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR171328,Knetsch2014,98,4083592,119835,pass,
SAMEA1710404,078NET042,11,,,,,Human,Human,,Homo sapiens; feces,2009,,,Europe,Netherlands,,,,Wellcome Trust Sanger Institute,PRJEB3012,GCA_901009155,Knetsch2014,68,3833188,140732,pass,
SAMEA1710797,078NET036,11,,,,,Human,Human,,Homo sapiens; feces,2008,,,Europe,Netherlands,,,,Wellcome Trust Sanger Institute,PRJEB3012,GCA_901009095,Knetsch2014,64,3959776,163371,pass,
SAMEA1710800,078NET035,11,,,,,Human,Human,,Homo sapiens; feces,2008,,,Europe,Netherlands,,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR171320,Knetsch2014,91,4011475,141303,pass,
SAMEA1710778,078NET030,11,,,,,Human,Human,,Homo sapiens; feces,2007,,,Europe,Netherlands,,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR171315,Knetsch2014,72,3876673,140787,pass,
SAMEA1710794,078NET029,11,,,,,Human,Human,,Homo sapiens; feces,2007,,,Europe,Netherlands,,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR171314,Knetsch2014,73,3992912,140777,pass,
SAMEA1710773,078NET028,11,,,,,Human,Human,,Homo sapiens; feces,2007,,,Europe,Netherlands,,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR171313,Knetsch2014,67,3871749,141336,pass,
SAMEA1710485,078NET017,11,78,,one_copy_IS30,ICE_v2,Human,Human,,,2008,,,Europe,United Kingdom,Leeds,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR171302,Knetsch2014,74,3897615,130473,pass,
SAMEA1710558,078NET014,11,78,,,,Human,Human,,,2009,,,Europe,Ireland,Dublin,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR171299,Knetsch2014,73,3943131,140792,pass,
SAMEA1710531,078NET055,11,78,,,,Human,Human,,,2009,,,Europe,United Kingdom,Glasgow,,,Wellcome Trust Sanger Institute,PRJEB3012,GCA_901005515,Knetsch2014,67,3939525,140789,pass,
SAMEA1710620,78,11,78,,one_copy_IS30,ICE_v2,Human,Human,,,2009,,,Europe,United Kingdom,Worcestershire,,,Wellcome Trust Sanger Institute,PRJEB3012,GCA_901007285,Knetsch2014,61,3887548,125490,pass,
SAMEA1710497,78,11,78,npmA2,yes,ICE_v1,Human,Human,,,2009,,,Europe,United Kingdom,Derbyshire,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR247128,Knetsch2014,71,3935596,121273,pass,
SAMEA1710516,78,11,78,,,,Human,Human,,,2008,,,Europe,United Kingdom,Nottinghamshire,,,Wellcome Trust Sanger Institute,PRJEB3012,GCA_901007235,Knetsch2014,66,3825363,133714,pass,
SAMEA1710742,78,11,78,,,,Human,Human,,,2008,,,Europe,United Kingdom,Dudley,,,Wellcome Trust Sanger Institute,PRJEB3012,GCA_901007245,Knetsch2014,58,3933567,133694,pass,
SAMEA1710780,78,11,78,,,,Human,Human,,,2006,,,North America,United States,Iowa,,,Wellcome Trust Sanger Institute,PRJEB3012,GCA_901006655,Knetsch2014,65,3851683,130330,pass,
SAMEA1710632,78,11,78,,,,Livestock,Cow,,,2006,,,North America,United States,Iowa,,,Wellcome Trust Sanger Institute,PRJEB3012,GCA_901006465,Knetsch2014,54,3893246,140804,pass,
SAMEA1710591,78,11,78,,,,Livestock,Pig,,,2002,,,North America,United States,Iowa,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR247048,Knetsch2014,51,3988367,140804,pass,
SAMEA1710757,078LVP025,11,78,,,,Human,Human,,,2011,,,Europe,United Kingdom,Liverpool,,,Wellcome Trust Sanger Institute,PRJEB3012,GCA_901005395,Knetsch2014,77,4031947,128929,pass,
SAMEA1710593,078LVP020,11,78,,one_copy_IS30,ICE_v1,Human,Human,,,2010,,,Europe,United Kingdom,Liverpool,,,Wellcome Trust Sanger Institute,PRJEB3012,GCF_900688895,Knetsch2014,61,3889673,141380,pass,
SAMEA1710660,078LVP016,11,78,,,,Human,Human,,,2010,,,Europe,United Kingdom,Liverpool,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR171236,Knetsch2014,65,3909880,147254,pass,
SAMEA1710693,078LVP015,11,78,,,,Human,Human,,,2010,,,Europe,United Kingdom,Liverpool,,,Wellcome Trust Sanger Institute,PRJEB3012,GCF_900688835,Knetsch2014,66,3851189,141854,pass,
SAMEA1710781,078LVP013,11,78,,,,Human,Human,,,2010,,,Europe,United Kingdom,Liverpool,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR171233,Knetsch2014,62,3876660,141739,pass,
SAMEA1710790,078LVP012,11,78,,,,Human,Human,,,2010,,,Europe,United Kingdom,Liverpool,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR171232,Knetsch2014,66,3868100,140787,pass,
SAMEA1710545,078LVP009,11,78,,,,Human,Human,,,2010,,,Europe,United Kingdom,Liverpool,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR171229,Knetsch2014,65,3871238,140777,pass,
SAMEA1710419,078GUE041,11,78,,,,Food,Avian,,Chicken_thigh,2008,,,North America,Canada,NI,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR171218,Knetsch2014,71,3834714,140781,pass,
SAMEA1710380,078GUE038,11,78,,,,Food,Avian,,Chicken_thigh,2008,,,North America,Canada,NI,,,Wellcome Trust Sanger Institute,PRJEB3012,GCA_901005125,Knetsch2014,63,3840168,140787,pass,
SAMEA1710340,078GUE034,11,78,,,,Companion Animal,Equine,,,2010,,,North America,Canada,NI,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR171211,Knetsch2014,65,3845395,141880,pass,
SAMEA1710549,078GUE031,11,78,,,,Livestock,Cow,,,2004,,,North America,Canada,NI,,,Wellcome Trust Sanger Institute,PRJEB3012,GCA_901005095,Knetsch2014,71,3846505,140802,pass,
SAMEA1710444,078GUE014,11,78,,,,Human,Human,,,2011,,,North America,Canada,NI,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR171191,Knetsch2014,61,3841065,140792,pass,
SAMEA1468420,C00007256,11,,,,,Human,Human,,,2011,,,Europe,United Kingdom,,,,University of Oxford,PRJEB3006,ERR127440,Eyre2012,110,3891996,134301,pass,
SAMN02904068,6058625,11,126,,,,Environment,Environment,,Hospital Environment,1996,,,Europe,Poland,,,,University of Oxford,PRJNA248340,SRR1519437,Knetsch2012,82,4158550,175618,pass,
SAMEA2239719,C00010637,11,,npmA2,yes,ICE_v1,Human,Human,,,,,,Europe,United Kingdom,,,,University of Oxford,PRJEB4639,ERR347540,Numberger2019,78,3996528,147963,pass,
SAMN06675458,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410573,Dingle2019,72,3918976,230973,pass,
SAMN06675459,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410572,Dingle2019,86,3880769,164249,pass,
SAMN06675460,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410571,Dingle2019,72,3878826,210909,pass,
SAMN06675463,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410568,Dingle2019,84,3880693,189035,pass,
SAMN06675465,ST11,11,78,npmA2,yes,ICE_v1,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410566,Dingle2019,75,4001248,190606,pass,
SAMN06675467,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410564,Dingle2019,79,3904622,210918,pass,
SAMN06675468,ST11,11,78,npmA2,yes,ICE_v1,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410563,Dingle2019,85,4002162,183395,pass,
SAMN06675470,ST11,11,78,npmA2,yes,ICE_v1,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410561,Dingle2019,78,3998810,195392,pass,
SAMN06675471,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410560,Dingle2019,83,3913217,164053,pass,
SAMN06675473,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410558,Dingle2019,77,3877974,188935,pass,
SAMN06675474,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410557,Dingle2019,72,3927820,230213,pass,
SAMN06675476,ST11,11,78,npmA2,yes,ICE_v1,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410555,Dingle2019,79,4002397,195235,pass,
SAMN06675480,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410551,Dingle2019,82,3888032,164249,pass,
SAMN06675482,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410549,Dingle2019,79,3914446,188929,pass,
SAMN06675484,ST11,11,78,,one_copy_IS30,ICE_v1,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410547,Dingle2019,84,4039364,186993,pass,
SAMN06675485,ST11,11,78,,one_copy_IS30,ICE_v1,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410546,Dingle2019,77,4038487,192864,pass,
SAMN06675486,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410545,Dingle2019,75,3955186,259089,pass,
SAMN06675488,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410543,Dingle2019,81,3916035,210875,pass,
SAMN06675489,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410542,Dingle2019,76,3974533,230208,pass,
SAMN06675494,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410537,Dingle2019,83,4073135,164177,pass,
SAMN06675495,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410536,Dingle2019,83,3897273,164249,pass,
SAMN06675497,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410534,Dingle2019,68,3904139,230581,pass,
SAMN06675498,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410533,Dingle2019,77,4072695,188887,pass,
SAMN06675499,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410532,Dingle2019,77,3912606,201014,pass,
SAMN06675500,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410531,Dingle2019,71,3911348,188569,pass,
SAMN06675501,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410530,Dingle2019,85,3912910,160541,pass,
SAMN06675502,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410529,Dingle2019,74,3878853,188121,pass,
SAMN06675504,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410527,Dingle2019,80,3910823,164177,pass,
SAMN06675514,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410517,Dingle2019,88,3937123,210884,pass,
SAMN06675520,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410511,Dingle2019,79,3906747,184491,pass,
SAMN06675526,ST11,11,78,npmA2,yes,ICE_v1,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410505,Dingle2019,82,3968392,163933,pass,
SAMN06675534,ST11,11,78,npmA2,yes,ICE_v1,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410497,Dingle2019,82,3996955,188950,pass,
SAMN06675539,ST11,11,78,npmA2,yes,ICE_v2,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410492,Dingle2019,71,3986105,164249,pass,
SAMN06675543,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410488,Dingle2019,78,3912841,200563,pass,
SAMN06675547,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410484,Dingle2019,83,4009256,163925,pass,
SAMN06675548,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410483,Dingle2019,81,3984824,188907,pass,
SAMN06675551,ST11,11,78,npmA2,yes,ICE_v2,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410480,Dingle2019,82,3949199,188907,pass,
SAMN06675557,ST11,11,78,,,,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410474,Dingle2019,65,3912286,188949,pass,
SAMN06675558,ST11,11,78,,one_copy_IS30,ICE_v1,Human,Human,,Homo sapiens; Faecal,2014,4,24,Europe,United Kingdom,Scotland,,,University of Glasgow,PRJNA381384,SRR5410473,Dingle2019,79,4039349,164228,pass,
SAMN03487137,DSM 29020,11,,,,,Human,Human,,Homo sapiens,2014,,,Asia,Indonesia,,,,Leibniz Institute DSMZ,PRJNA224116,GCF_003482165,Haft2018,1,4139418,4139418,pass,
SAMN10765998,0000-0076-6893,11,,,,,Human,Human,,Homo sapiens; stool,2017,,,North America,United States,Massachusetts,Suffolk County,Boston,'Brigham and Women''s Hospital',PRJNA278886,SRR8452237,Nudel2018,124,4018460,94727,pass,
SAMN10765993,0000-0076-3872,11,,,,,Human,Human,,Homo sapiens; stool,2017,,,North America,United States,Massachusetts,Suffolk County,Boston,'Brigham and Women''s Hospital',PRJNA278886,SRR8452238,Nudel2018,135,4014689,77981,pass,
SAMN09406403,MMMOSAM:cc8c1189-f7be-4664-b6c8-dbe6818e0579,11,78,,,,Human,Human,,Homo sapiens; clinical sample,2013,7,9,Europe,Portugal,,,,University of Oxford,PRJNA398458,SRR7309171,Eyre2018,118,3907330,82138,pass,
SAMN09060494,0000-0075-3456,11,,,,,Human,Human,,Homo sapiens; stool,2017,,,North America,United States,Massachusetts,Suffolk County,Boston,'Brigham and Women''s Hospital',PRJNA278886,SRR7108985,Nudel2018,140,4206297,91470,pass,
SAMN07609926,MMMOSAM:3962d71b-71bd-4bff-8919-85076fbc8637,11,,,,,Human,Human,,Homo sapiens; clinical sample,2014,3,17,Europe,United Kingdom,,,,University of Oxford,PRJNA369188,SRR6009234,Eyre2017,117,4059280,162796,pass,
SAMN07609539,MMMOSAM:9d3b8c59-91e8-410e-b25d-641dd7568720,11,,,,,Human,Human,,Homo sapiens; clinical sample,2014,1,23,Europe,United Kingdom,,,,University of Oxford,PRJNA369188,SRR6008992,Eyre2017,174,4015992,55231,pass,
SAMN07609404,MMMOSAM:c13a80f0-ae1d-40cd-95b8-7959e18314f5,11,,npmA2,yes,ICE2,Human,Human,,Homo sapiens; clinical sample,2014,2,12,Europe,United Kingdom,,,,University of Oxford,PRJNA369188,SRR6009155,Eyre2017,109,3983739,145227,pass,
SAMN05219394,MMMOSAM:aa6dc448-2df2-4168-b8b4-1437032042ca,11,,,,,Human,Human,,Homo sapiens; clinical sample,2010,8,24,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA318370,SRR3654517,Stoesser2017,101,4016615,144960,pass,
SAMN05209613,MMMOSAM:d6c4a1db-7e68-4456-b1f3-187d22add3b8,11,,,,,Human,Human,,Homo sapiens; Study sample,2012,11,11,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA318370,SRR3631862,Stoesser2017,127,3967183,147440,pass,
SAMN05209508,MMMOSAM:adcc71f2-5003-4d11-83bb-76a434e52d10,11,,,,,Human,Human,,Homo sapiens; Study sample,2012,12,8,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA318370,SRR3631740,Stoesser2017,125,3967479,162797,pass,
SAMN05209484,MMMOSAM:a0d96e6a-349d-422e-9d3f-142704795d20,11,,,,,Human,Human,,Homo sapiens; clinical sample,2012,6,20,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA318370,SRR3631582,Stoesser2017,165,3886532,49764,pass,
SAMN05209431,MMMOSAM:8ab728b7-e1bf-41cc-a495-6112d2ae41f7,11,,,,,Human,Human,,Homo sapiens; clinical sample,,,,Oceania,Australia,,,,University of Oxford,PRJNA318370,SRR3631508,Stoesser2017,126,4042109,147343,pass,
SAMN05209373,MMMOSAM:738956fc-f1b9-481b-a30a-e04ec5ac43bf,11,,,,,Human,Human,,Homo sapiens; clinical sample,2013,1,17,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA318370,SRR3631400,Stoesser2017,105,3893209,163571,pass,
SAMN05209210,MMMOSAM:2e2ce228-db51-4630-b941-a25facd911d7,11,,,,,Human,Human,,Homo sapiens; clinical sample,2012,10,16,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA318370,SRR3631234,Stoesser2017,121,3940491,152818,pass,
